Site,year,mean-rugosity
bigelow,1992,45
bigelow,1993,48
bigelow,1994,46
bigelow,1995,51
bigelow,1996,47
bigelow,1997,48
bigelow,1998,44
bigelow,1999,44
bigelow,2000,49
bigelow,2001,49
bigelow,2002,45
bigelow,2003,39
bigelow,2004,52
bigelow,2005,45
bigelow,2006,49
bigelow,2007,38
bigelow,2008,48
bigelow,2009,50
bigelow,2010,35
bigelow,2011,43
bigelow,2012,40
bigelow,2013,41
bigelow,2014,39
bigelow,2015,37
bigelow,2016,36
bigelow,2017,38
bigelow,2018,40
crab,1992,57
crab,1993,54
crab,1994,57
crab,1995,49
crab,1996,55
crab,1997,55
crab,1998,48
crab,1999,52
crab,2000,54
crab,2001,47
crab,2002,50
crab,2003,55
crab,2004,52
crab,2005,26
crab,2006,30
crab,2007,27
crab,2008,27
crab,2009,34
crab,2010,28
crab,2011,30
crab,2012,33
crab,2013,35
crab,2014,44
crab,2015,35
crab,2016,37
crab,2017,33
crab,2018,36
grand,1992,74
grand,1993,70
grand,1994,75
grand,1995,67
grand,1996,58
grand,1997,59
grand,1998,74
grand,1999,78
grand,2000,75
grand,2001,68
grand,2002,76
grand,2003,63
grand,2004,70
grand,2005,77
grand,2006,63
grand,2007,69
grand,2008,75
grand,2009,76
grand,2010,60
grand,2011,67
grand,2012,63
grand,2013,70
grand,2014,63
grand,2015,65
grand,2016,60
grand,2017,62
grand,2018,59
iguana,1992,63
iguana,1993,59
iguana,1994,60
iguana,1995,56
iguana,1996,58
iguana,1997,63
iguana,1998,66
iguana,1999,57
iguana,2000,61
iguana,2001,58
iguana,2002,63
iguana,2003,62
iguana,2004,65
iguana,2005,59
iguana,2006,49
iguana,2007,45
iguana,2008,47
iguana,2009,45
iguana,2010,50
iguana,2011,47
iguana,2012,48
iguana,2013,52
iguana,2014,60
iguana,2015,49
iguana,2016,54
iguana,2017,50
iguana,2018,48
monkey,1992,34
monkey,1993,29
monkey,1994,30
monkey,1995,33
monkey,1996,34
monkey,1997,31
monkey,1998,30
monkey,1999,25
monkey,2000,26
monkey,2001,30
monkey,2002,33
monkey,2003,28
monkey,2004,28
monkey,2005,31
monkey,2006,33
monkey,2007,31
monkey,2008,29
monkey,2009,32
monkey,2010,28
monkey,2011,26
monkey,2012,28
monkey,2013,32
monkey,2014,31
monkey,2015,33
monkey,2016,30
monkey,2017,29
monkey,2018,26
muskN,1992,70
muskN,1993,63
muskN,1994,65
muskN,1995,68
muskN,1996,62
muskN,1997,66
muskN,1998,64
muskN,1999,57
muskN,2000,59
muskN,2001,63
muskN,2002,58
muskN,2003,60
muskN,2004,61
muskN,2005,60
muskN,2006,65
muskN,2007,60
muskN,2008,60
muskN,2009,66
muskN,2010,55
muskN,2011,56
muskN,2012,50
muskN,2013,50
muskN,2014,52
muskN,2015,55
muskN,2016,57
muskN,2017,45
muskN,2018,49
pelican,1992,22
pelican,1993,20
pelican,1994,25
pelican,1995,20
pelican,1996,28
pelican,1997,22
pelican,1998,29
pelican,1999,22
pelican,2000,30
pelican,2001,19
pelican,2002,19
pelican,2003,23
pelican,2004,25
pelican,2005,18
pelican,2006,26
pelican,2007,22
pelican,2008,30
pelican,2009,25
pelican,2010,24
pelican,2011,28
pelican,2012,24
pelican,2013,20
pelican,2014,23
pelican,2015,29
pelican,2016,17
pelican,2017,17
pelican,2018,24
white,1992,54
white,1993,55
white,1994,58
white,1995,52
white,1996,51
white,1997,50
white,1998,60
white,1999,54
white,2000,58
white,2001,50
white,2002,48
white,2003,43
white,2004,36
white,2005,39
white,2006,37
white,2007,40
white,2008,38
white,2009,40
white,2010,36
white,2011,37
white,2012,31
white,2013,25
white,2014,31
white,2015,23
white,2016,22
white,2017,19
white,2018,20